"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
533,"2025-11-03 12:00:34+00","n2",2,200
534,"2025-11-03 12:00:35+00","n3",2,200
535,"2025-11-03 12:00:36+00","n4",1,404
536,"2025-11-03 13:00:13+00","n5",1,404
537,"2025-11-03 13:00:14+00","n6",1,404
538,"2025-11-03 13:00:15+00","n7",2,200
539,"2025-11-03 13:00:16+00","n8",2,200
540,"2025-11-03 13:45:13+00","n9",2,200
541,"2025-11-03 13:45:14+00","oa",2,200
542,"2025-11-03 13:45:16+00","ob",2,200
543,"2025-11-03 13:45:17+00","oc",2,200
544,"2025-11-03 13:45:17+00","od",2,200
545,"2025-11-03 13:45:18+00","oe",2,200
546,"2025-11-03 13:45:19+00","of",2,200
547,"2025-11-03 13:45:20+00","og",2,200
548,"2025-11-03 13:45:21+00","oh",2,200
549,"2025-11-03 13:45:23+00","oi",2,200
550,"2025-11-03 13:45:24+00","oj",2,200
551,"2025-11-03 13:45:24+00","ok",2,200
552,"2025-11-03 14:00:13+00","ol",1,404
553,"2025-11-03 14:00:14+00","om",2,200
554,"2025-11-03 14:00:15+00","on",2,200
555,"2025-11-03 14:00:15+00","oo",2,200
556,"2025-11-03 14:45:13+00","op",2,200
557,"2025-11-03 14:45:14+00","oq",2,200
558,"2025-11-03 14:45:14+00","or",2,200
