"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
437,NULL,"le",2,200
438,NULL,"lf",2,200
439,NULL,"lg",2,200
440,NULL,"lh",2,200
441,NULL,"li",2,200
442,NULL,"lj",2,200
443,NULL,"lk",2,200
444,NULL,"ll",2,200
445,NULL,"lm",2,200
446,NULL,"ln",2,200
447,NULL,"lo",2,200
448,NULL,"lp",2,200
449,NULL,"lq",2,200
450,NULL,"lr",2,200
451,NULL,"ls",2,200
452,NULL,"lt",2,200
453,NULL,"lu",2,200
454,NULL,"lv",2,200
455,NULL,"lw",2,200
456,NULL,"lx",2,200
457,NULL,"ly",2,200
458,NULL,"lz",2,200
459,NULL,"l0",2,200
460,NULL,"l1",2,200
461,NULL,"l2",2,200
462,NULL,"l3",2,200
463,NULL,"l4",2,200
464,NULL,"l5",2,200
465,NULL,"l6",2,200
466,NULL,"l7",2,200
467,NULL,"l8",2,200
468,NULL,"l9",2,200
469,NULL,"ma",2,200
470,NULL,"mb",2,200
471,NULL,"mc",2,200
472,NULL,"md",2,200
473,NULL,"me",2,200
474,NULL,"mf",2,200
475,NULL,"mg",2,200
476,NULL,"mh",2,200
477,NULL,"mi",2,200
478,NULL,"mj",2,200
479,NULL,"mk",2,200
480,NULL,"ml",2,200
481,NULL,"mm",2,200
482,NULL,"mn",2,200
483,NULL,"mo",2,200
484,NULL,"mp",2,200
485,NULL,"mq",2,200
486,NULL,"mr",2,200
487,NULL,"ms",2,200
488,NULL,"mt",2,200
489,NULL,"mu",2,200
490,NULL,"mv",2,200
491,NULL,"mw",2,200
492,NULL,"mx",2,200
493,NULL,"my",2,200
494,NULL,"mz",2,200
495,NULL,"m0",2,200
496,NULL,"m1",2,200
497,NULL,"m2",2,200
498,NULL,"m3",2,200
499,NULL,"m4",2,200
500,NULL,"m5",2,200
501,NULL,"m6",2,200
502,NULL,"m7",2,200
503,NULL,"m8",2,200
504,NULL,"m9",2,200
505,NULL,"na",2,200
506,NULL,"nb",2,200
507,NULL,"nc",2,200
508,NULL,"nd",2,200
509,NULL,"ne",2,200
510,NULL,"nf",2,200
511,NULL,"ng",2,200
512,NULL,"nh",2,200
513,NULL,"ni",2,200
514,NULL,"nj",2,200
515,NULL,"nk",2,200
516,NULL,"nl",2,200
517,NULL,"nm",2,200
518,NULL,"nn",2,200
519,NULL,"no",2,200
520,NULL,"np",2,200
521,NULL,"nq",2,200
522,NULL,"nr",2,200
523,NULL,"ns",2,200
524,NULL,"nt",2,200
525,NULL,"nu",2,200
526,NULL,"nv",2,200
527,NULL,"nw",2,200
528,NULL,"nx",2,200
529,NULL,"ny",2,200
530,NULL,"nz",2,200
531,NULL,"n0",2,200
532,NULL,"n1",2,200
533,NULL,"n2",2,200
534,NULL,"n3",2,200
535,NULL,"n4",2,200
536,NULL,"n5",2,200
537,NULL,"n6",2,200
538,NULL,"n7",2,200
539,NULL,"n8",2,200
540,NULL,"n9",2,200
541,NULL,"oa",2,200
542,NULL,"ob",2,200
543,NULL,"oc",2,200
544,NULL,"od",2,200
545,NULL,"oe",2,200
546,NULL,"of",2,200
547,NULL,"og",2,200
548,NULL,"oh",2,200
549,NULL,"oi",2,200
550,NULL,"oj",2,200
551,NULL,"ok",2,200
552,NULL,"ol",2,200
553,NULL,"om",2,200
554,NULL,"on",2,200
555,NULL,"oo",2,200
556,NULL,"op",2,200
557,NULL,"oq",2,200
558,NULL,"or",2,200
559,NULL,"os",2,200
560,NULL,"ot",2,200
561,NULL,"ou",2,200
562,NULL,"ov",2,200
563,NULL,"ow",2,200
564,NULL,"ox",2,200
565,NULL,"oy",2,200
566,NULL,"oz",2,200
567,NULL,"o0",2,200
568,NULL,"o1",2,200
569,NULL,"o2",2,200
570,NULL,"o3",2,200
571,NULL,"o4",2,200
572,NULL,"o5",2,200
573,NULL,"o6",2,200
574,NULL,"o7",2,200
